rental_id;car_id;checkin_type;state;delay_at_checkout_in_minutes;previous_ended_rental_id;time_delta_with_previous_rental_in_minutes
542549;221978;mobile;canceled;;;
542661;391512;mobile;ended;-170;;
542894;218964;mobile;ended;-36;;
542942;358082;connect;ended;-106;;
543012;393044;mobile;ended;9;;
543050;379428;mobile;ended;-21;;
543088;200316;mobile;ended;64;;
543150;410052;mobile;ended;23;;
543180;350521;mobile;ended;14;;
543186;395671;mobile;ended;5;;
543243;344149;mobile;ended;300;;
543251;409296;mobile;ended;-18;;
543257;389929;mobile;ended;;;
543287;377312;mobile;ended;12;;
543321;371572;connect;ended;48;;
543328;358772;connect;ended;-9;552619;240
543437;409808;mobile;ended;-57;;
543443;356551;connect;ended;-529;;
543464;399161;mobile;ended;670;;
543614;378939;mobile;ended;-1087;;
543676;390481;mobile;ended;-53;;
543679;225795;connect;ended;64;540663;540
543681;368432;mobile;ended;2;;
543761;294189;mobile;ended;24;;
543768;374169;connect;canceled;;543010;210
543780;319708;mobile;ended;55;;
543808;369230;mobile;ended;75;536315;60
543879;270665;mobile;ended;;;
543906;401666;mobile;ended;;;
543984;313085;mobile;ended;-44;;
544164;301301;connect;ended;-244;;
544167;306607;connect;ended;337;;
544197;387939;connect;ended;39;;
544443;337047;mobile;ended;56;;
544489;405565;mobile;canceled;;;
544586;312389;mobile;ended;31;;
544617;367627;mobile;ended;-23;;
544642;176755;mobile;canceled;;;
544763;394781;mobile;ended;233;;
544777;387810;connect;ended;50;;
544937;348400;mobile;ended;108;;
544967;373545;mobile;ended;56;;
544980;350135;mobile;ended;-2;;
545064;194343;connect;ended;74;;
545068;374684;mobile;ended;-31;;
545171;292910;mobile;ended;7;;
545202;367365;connect;canceled;;;
545214;363658;mobile;ended;302;;
545272;370585;connect;ended;-98;;
545319;353251;mobile;ended;93;;
545320;224133;mobile;ended;20;;
545333;217777;connect;canceled;;;
545357;408467;mobile;ended;;;
545438;393172;connect;ended;-467;;
545640;312840;connect;canceled;;;
545741;409096;mobile;ended;20;;
545763;366310;mobile;ended;69;;
545782;382901;mobile;ended;-9;;
545922;409695;mobile;ended;-80;;
545947;396470;mobile;ended;-44;;
546024;381038;mobile;ended;163;;
546150;242106;mobile;ended;-2;;
546160;352528;connect;canceled;;546578;630
546169;409274;mobile;ended;10;;
546252;408509;mobile;ended;-52;;
546365;384056;mobile;canceled;;;
546477;383309;mobile;ended;16;548486;660
546484;409391;mobile;ended;92;;
546491;366448;mobile;canceled;;;
546564;392732;mobile;ended;7;;
546738;288953;mobile;ended;;;
546745;342645;connect;ended;-55;;
546822;394781;mobile;ended;30;;
546865;399535;mobile;ended;261;;
546888;295783;connect;ended;84;;
546935;348526;connect;ended;85;;
546938;410452;mobile;ended;10;;
546957;405122;mobile;ended;-113;;
546991;377219;connect;ended;423;;
547033;276276;mobile;ended;500;;
547039;409872;mobile;ended;;;
547072;395489;mobile;canceled;;;
547122;385574;connect;ended;-5;;
547160;409344;mobile;ended;1;;
547177;214635;connect;ended;-548;;
547188;231676;mobile;ended;266;535868;30
547198;381684;mobile;ended;145;;
547223;188944;connect;ended;8;;
547236;392147;mobile;ended;-8;;
547348;374614;mobile;ended;74;;
547557;408406;mobile;ended;126;;
548028;409718;mobile;ended;15;;
548177;411835;mobile;canceled;;;
548215;367346;mobile;ended;-8;;
548279;317330;connect;ended;-692;;
548352;409458;mobile;ended;195;;
548355;375311;mobile;canceled;;;
548453;374241;mobile;canceled;;;
548598;288973;mobile;ended;-133;;
548603;363820;mobile;ended;-22;;
548646;282893;mobile;ended;201;;
548702;406104;mobile;ended;21;;
548897;278005;mobile;ended;-307;;
548904;373316;mobile;ended;-40;;
548912;411521;mobile;ended;225;553683;60
548973;227830;mobile;canceled;;;
549047;369608;mobile;ended;-37;;
549135;394752;mobile;canceled;;;
549261;360829;mobile;ended;-12;;
549266;411687;mobile;ended;-11;;
549273;175887;connect;ended;-26;;
549290;364907;connect;ended;-49;;
549340;181607;mobile;ended;381;;
549345;369881;connect;ended;22;;
549444;177058;mobile;ended;144;;
549446;391174;mobile;ended;69;;
549499;408814;mobile;ended;19;;
549558;328016;mobile;ended;10;;
549579;273263;mobile;ended;-5;;
549674;390702;connect;ended;-127;;
549692;358131;mobile;ended;-158;;
549808;310219;connect;ended;54;;
549874;409690;mobile;ended;3;;
549901;383481;mobile;ended;201;;
549923;407730;mobile;ended;167;;
549983;356540;mobile;ended;;;
550000;378182;mobile;ended;-136;;
550134;294883;mobile;ended;-158;;
550211;407838;mobile;ended;20;;
550224;358567;connect;ended;-7;;
550246;408578;mobile;ended;-15;;
550248;382901;mobile;ended;-127;545782;60
550459;295815;mobile;ended;82;;
550537;239798;connect;ended;37;;
550660;399967;mobile;ended;0;;
550723;380886;mobile;ended;;545855;120
550808;346652;connect;ended;-41;;
550929;310681;connect;ended;-25;;
550964;229360;mobile;canceled;;;
551031;409711;mobile;ended;-1283;;
551040;383343;mobile;ended;40;;
551069;359880;connect;ended;-22;549192;180
551108;291723;mobile;ended;211;;
551128;382939;mobile;ended;97;;
551137;295783;connect;ended;16;;
551179;304570;mobile;ended;536;;
551227;341710;mobile;ended;159;;
551311;409112;mobile;ended;;;
551317;283001;mobile;ended;-7;;
551364;406062;connect;ended;34;;
551429;277888;mobile;ended;203;;
551591;304055;mobile;ended;;;
551679;381233;mobile;ended;275;;
551695;374293;mobile;canceled;;;
551795;382793;mobile;ended;-193;;
551868;409330;mobile;ended;;;
551907;171249;mobile;ended;11;;
552204;348625;mobile;ended;91;;
552209;412676;mobile;ended;23;;
552233;245154;connect;ended;4;;
552265;408202;mobile;ended;-28;;
552312;384045;mobile;canceled;;;
552330;384657;connect;ended;23;554800;0
552342;376619;mobile;ended;-965;547312;0
552389;307335;mobile;ended;6;;
552425;385625;connect;ended;-102;550476;30
552448;364662;mobile;ended;-232;;
552524;173061;connect;ended;-22;;
552655;406081;mobile;ended;322;;
552677;323777;mobile;ended;31;;
552700;348673;mobile;ended;63;;
552716;294883;mobile;ended;10;;
552850;315136;connect;ended;40;;
552964;384385;mobile;ended;20;;
553033;381331;mobile;ended;;;
553153;276924;mobile;ended;5;;
553240;362608;mobile;ended;;;
553354;401166;mobile;ended;7;;
553356;381684;mobile;ended;-1;;
553367;385783;mobile;ended;24;519328;150
553511;363658;mobile;ended;170;;
553532;355444;connect;ended;-20;;
553660;412936;mobile;ended;-3;;
553726;347847;mobile;ended;-36;;
553730;390976;connect;ended;-29;;
553755;393972;mobile;ended;1;;
553795;402528;connect;ended;11;;
553959;398733;mobile;canceled;;;
553984;410694;mobile;ended;-148;;
554021;411852;mobile;ended;;;
554025;293785;mobile;ended;37;;
554508;241021;connect;ended;-37;;
554572;380002;mobile;ended;358;;
554581;406629;mobile;ended;-5;;
554672;352631;mobile;canceled;;;
554695;402993;mobile;ended;17;560722;720
555081;311353;mobile;ended;-72;;
555083;328013;mobile;ended;161;;
555131;324889;mobile;ended;146;;
555458;351168;mobile;ended;-919;;
555600;391519;connect;ended;-95;;
555659;260298;mobile;ended;;;
555703;391926;connect;canceled;;;
555794;327585;mobile;ended;19;;
555813;360548;mobile;ended;-26;;
